PMID,file_name,short_citation,include,clinical_only,clinical_expanded,clinical_and_research,compendium_references,compendium_with_references
36454631,Peluso_36454631,Peluso_36454631,y,,,,y,y
39326415,Peluso_39326415,Peluso_39326415,y,,y,y,,
36966460,Perez_36966460,Perez_36966460,y,,,,y,y
36790806,Perlis_36790806,Perlis_36790806,y,,,,y,y
39556163,Pfrommer_39556163,Pfrommer_39556163,y,,,,y,y
35027728,Phetsouphanh_35027728,Phetsouphanh_35027728,y,,,,y,y
37234076,Pollack_37234076,Pollack_37234076,y,,,,y,y
38970055,Polo_NP015,Polo_NP015,y,,,,y,y
20192908,Porter_20192908,Porter_20192908,y,,,,y,y
34248921,Proal_34248921,Proal_34248921,y,,,,y,y
37328773,Wang_37328773,Wang_37328773,y,,,y,,
NP020,Reis_NP020,Reis_NP020,y,,,,y,y
37489358,Reiss_37489358,Reiss_37489358,y,,,,y,y
35198158,Reuschke_NP011,Reuschke_NP011,y,,,,y,y
32965460,Rubin_32965460,Rubin_32965460,y,,,,y,y
33419740,Salman_33419740,Salman_33419740,y,,,,y,y
38206585,Sathyamoorthy_38206585,Sathyamoorthy_38206585,y,,,,y,y
38560070,Sathyamoorthy_38560070,Sathyamoorthy_38560070,y,,,,y,y
38496502,Silva_38496502,Silva_38496502,y,,,,y,y
37216955,Singh_37216955,Singh_37216955,y,,,,y,y
NP001,SSALongCovid_NP001,SSALongCovid_NP001,y,,,y,,
28890890,Steffen_28890890,Steffen_28890890,y,,,,y,y
34506003,Storz_34506003,Storz_34506003,y,,,,y,y
NP019,Substance_NP019,Substance_NP019,y,,,,y,y
36052466,Swank_36052466,Swank_36052466,y,,,,y,y
38541324,Sweis_38541324,Sweis_38541324,y,,,,y,y
35962520,Taghrir_35962520,Taghrir_35962520,y,,,,y,y
36921274,Tenforde_36921274,Tenforde_36921274,y,,,,y,y
37278994,Thaweethai_37278994,Thaweethai_37278994,y,,,y,,
39050244,Tintore_39050244,Tintore_39050244,y,,,,y,y
36910458,Tran_36910458,Tran_36910458,y,,,,y,y
NP012,United_NP012,United_NP012,y,,,,y,y
33529750,US_NP016,US_NP016,y,,,,y,y
38311655,Vernino_38311655,Vernino_38311655,y,,,,y,y
39142505,Vogel_39142505,Vogel_39142505,y,,y,y,,
19111779,Whitehead_19111779,Whitehead_19111779,y,,,,y,y
35657351,Whiteson_35657351,Whiteson_35657351,y,,,y,y,y
37848036,Wong_37848036,Wong_37848036,y,,,y,y,y
35307156,Writing_35307156,Writing_35307156,y,,,,y,y
38672710,Wu_38672710,Wu_38672710,y,,,,y,y
35132265,Xie_35132265,Xie_35132265,y,,,,y,y
39018527,Xie_39018527,Xie_39018527,y,,,y,,
37169323,Xuereb_37169323,Xuereb_37169323,y,,,,y,y
39603702,Zeraatkar_39603702,Zeraatkar_39603702,y,,y,,,
38756213,Zheng_38756213,Zheng_38756213,y,,,,y,y
NP022,Zimmerman_NP022,Zimmerman_NP022,y,,,,y,y
35650445,Zubchenko_35650445,Zubchenko_35650445,y,,,,y,y
